NIT;NOMBRE;SECTOR;SUBSECTOR;ARTICULOS;PAIS;DEPARTAMENTO;CIUDAD;DIRECCIÓN;CELULAR;TELEFONO;LINK_FACEBOOK;LINK_INSTAGRAM;;;;;;;;;;;;;;;
;Distribuidora la 68;Hosteleria;Bar;Dsitribuidora de licores, cerveza, gaseosa, snacks ;Colombia;Antioquia;Sabaneta;Calle 68 Sur#46-46;3148919678;6044171059;https://www.facebook.com/distrilicoresLa68/?locale=es_LA;https://www.instagram.com/licoresla68/;;;;;;;;;;;;;;;
;Tiki bar que sea un motivo;Hosteleria;Bar;Bar discoteca;Colombia;Antioquia;Sabaneta;Calle 72 Sur # 44-05;3043878750;NULL;NULL;NULL;;;;;;;;;;;;;;;
;La Colmena sur;Ferretero;Ferretero;Todo en llaves de seguridad;Colombia;Antioquia;Sabaneta;Carrera 45 # 72 Sur-35;3155434962;NULL;NULL;https://www.instagram.com/cafemilagrooficial/;;;;;;;;;;;;;;;
;Jvan Londoño;Publicitario;Fotografía;Fotografía, retratos, publicidad;Colombia;Antioquia;Sabaneta;Calle 72 Sur #45 A-60;3218714789;NULL;NULL;https://www.instagram.com/jvan.londono.studio/;;;;;;;;;;;;;;;
;Guillego Estudio Fotográfico;Publicitario;Fotografía;Servicio fotografico, eventos sociales, diseño e impresión;Colombia;Antioquia;Sabaneta;Calle 72 Sur # 45 A -09;3218054649;NULL;NULL;https://www.instagram.com/gestudiofotografico/?hl=es;;;;;;;;;;;;;;;
;La Vaca Lola;Retail;Comercio Minorista;Productos para bebe;Colombia;Antioquia;Sabaneta;Carrera 47 # 75 Sur 16;3006760642;NULL;https://www.facebook.com/p/La-vaca-Lola-Tienda-para-Pekes-100062939305948/;https://www.instagram.com/lavacalolatiendaparapekes/?hl=es-la;;;;;;;;;;;;;;;
;Rocky Cueros;Retail;Comercio Minorista;Venta accesorios para montar caballo, monturas, alfombras,frenos, riendas, aperos;Colombia;Antioquia;Sabaneta;Calle 72 Sur # 45A-10;3217511266;NULL;https://www.facebook.com/rockycueross/?locale=es_LA;https://www.instagram.com/rockycueros/;;;;;;;;;;;;;;;
;Sastreria DYD;Textil;Textil;Sastreria, arreglos en general;Colombia;Antioquia;Sabaneta;Calle 69 Sur # 46-27;3152775314;NULL;https://www.facebook.com/sastrw/?locale=es_LA;"Colombia	Antioquia	Sabaneta";;;;;;;;;;;;;;;
;Empeliculados;Retail;Comercio Minorista;Tienda de articulos de colección;Colombia;Antioquia;Sabaneta;Carrera 48 # 76D Sur 52;3217493530;NULL;NULL;https://www.instagram.com/empeliculadoscol/;;;;;;;;;;;;;;;
;Tienda de Regalos Sabaneta;Retail;Comercio Minorista;Anchetas, desayunos sorpresa, empaques para regalo, cajas y accesorios;Colombia;Antioquia;Sabaneta;Calle 72 Sur #46-37;3105255156;NULL;NULL;https://www.instagram.com/tiendaderegalossabaneta/?hl=es;;;;;;;;;;;;;;;
;Proyecto y Enfoque Inmobiliario;Inmobiliario;Inmobiliario;Inmobiliario;Colombia;Antioquia;Sabaneta;Cl 66 S # 43C-84;3052047405;6043221126;https://www.facebook.com/p/Proyecto-Y-Enfoque-Inmobiliario-100083624130170/;NULL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
